sk               Eth Pid        Groups   Rmem     Wmem     Dump  Locks    Drops    Inode
00000000eedbd599 0   0          00000000 0        0        0     2        0        17      
0000000094d67f7f 4   0          00000000 0        0        0     2        0        412     
00000000f766771d 7   0          00000000 0        0        0     2        0        408     
00000000307f506f 9   3357914698 00000000 0        0        0     2        0        15683   
00000000c1c7e3a9 9   0          00000000 0        0        0     2        0        23      
00000000b247bce3 9   1          00000001 0        0        0     2        0        15626   
000000008eecbec9 10  0          00000000 0        0        0     2        0        133     
000000001850a480 11  0          00000000 0        0        0     2        0        32      
000000003ec50682 15  752        00000002 0        0        0     2        0        20924   
00000000e2195ef1 15  3479945103 00000002 0        0        0     2        0        21529   
00000000115518f3 15  0          00000000 0        0        0     2        0        28      
00000000820b9ab3 15  3605262844 00000002 0        0        0     2        0        21530   
000000008d5c1f07 15  2796808725 00000002 0        0        0     2        0        21528   
0000000074694080 15  1          00000002 0        0        0     2        0        15625   
000000003834501a 15  663        00000002 0        0        0     2        0        21527   
00000000d7a3ef02 15  2583807656 00000001 0        0        0     2        0        15635   
00000000429fb2e5 16  0          00000000 0        0        0     2        0        18      
0000000087a06598 18  0          00000000 0        0        0     2        0        13155   
